key,text,module
Marketplace,Marketplace,
Manage Shipment,Manage Shipment,
Return,Return,
Request to Proceed,Request to Proceed,
Manage Return,Manage Return,
Sales Channel,Sales Channel,
Code,Code,
Virtual Stock,Virtual Stock,
Edit,Edit,
see more...,see more...,
Location List,Location List,
OK,OK,
Login,Login,
Sign in to your account,Sign in to your account,
Password,Password,
Forgot your password?,Forgot your password?,
Register Vendor,Register Vendor,
Set a New Password,Set a New Password,
Invalid captcha!,Invalid captcha!,
If there is an account associated with {{values.email}} you will receive an email with a link to reset your password.,If there is an account associated with {{values.email}} you will receive an email with a link to reset your password.,
Forgot your password ?,Forgot your password ?,
Please enter your email address below to receive a password reset link.,Please enter your email address below to receive a password reset link.,
Reset My Password,Reset My Password,
Back to login page,Back to login page,
invalid link,invalid link,
invalid email,invalid email,
Passwords must match,Passwords must match,
You updated your password.,You updated your password.,
Your a new password,Your a new password,
Manage Stock,Manage Stock,
Create Stock,Create Stock,
Update Stock,Update Stock,
Export Source,Export Source,
Edit Stock,Edit Stock,
Channel Stock Summary,Channel Stock Summary,
Manage Stock Transfer,Manage Stock Transfer,
Upload Stock Transfer,Upload Stock Transfer,
Stock Transfer #,Stock Transfer #,
Uploaded Stock Transfer Items #,Uploaded Stock Transfer Items #,
Add Stock Transfer,Add Stock Transfer,
Manage Stock Adjustment,Manage Stock Adjustment,
Add New Stock Adjustment,Add New Stock Adjustment,
Edit Stock Adjustment #,Edit Stock Adjustment #,
Manage Price,Manage Price,
Price Location Upload,Price Location Upload,
Update Stock History,Update Stock History,
Inventory Audit Trail,Inventory Audit Trail,
Qty Incoming,Qty Incoming,
Qty Buffer,Qty Buffer,
Priority,Priority,
Special Price From,Special Price From,
Special Price To,Special Price To,
Location is required,Location is required,
"Please select the file : ","Please select the file : ",
Download Total Quantity Sample CSV,Download Total Quantity Sample CSV,
Download Saleable Quantity Sample CSV,Download Saleable Quantity Sample CSV,
Stock successfully exported.,Stock successfully exported.,
The channel stock summary has been exported,The channel stock summary has been exported,
The stock transfer has been imported.,The stock transfer has been imported.,
The stock transfer has been submitted and applied.,The stock transfer has been submitted and applied.,
The stock transfer has been saved.,The stock transfer has been saved.,
Stock adjustment successfully submitted and applied.,Stock adjustment successfully submitted and applied.,
Stock adjustment saved successfully.,Stock adjustment saved successfully.,
Stock,Stock,
Stock Transfer Number,Stock Transfer Number,
Updated At,Updated At,
Updated By,Updated By,
Last Sync at,Last Sync at,
Sync Status,Sync Status,
Sync Message,Sync Message,
Sync To Marketplace,Sync To Marketplace,
Source Location,Source Location,
Source Location Code,Source Location Code,
Target Location Code,Target Location Code,
Target Location,Target Location,
Created By,Created By,
Created At,Created At,
Created At From,Created At From,
Created At To,Created At To,
Enabled,Enabled,
Disabled,Disabled,
File Name,File Name,
File,File,
Download File,Download File,
View Items,View Items,
Stock Transfer Upload History,Stock Transfer Upload History,
qty transfer must be less than qty available,qty transfer must be less than qty available,
SKU Product,SKU Product,
Qty Available,Qty Available,
Qty Transfer,Qty Transfer,
Qty Adjustment,Qty Adjustment,
Add Product,Add Product,
Upload Products,Upload Products,
Upload Price,Upload Price,
Reason,Reason,
Save As Draft,Save As Draft,
Submit And Apply,Submit And Apply,
Error Messages,Error Messages,
Message,Message,
Remove,Remove,
Completed,Completed,
Pending,Pending,
upload failed,upload failed,
csv missing header,csv missing header,
No product found,No product found,
Some product not found,Some product not found,
Add Stock Adjustment,Add Stock Adjustment,
Type,Type,
Last Trigered By,Last Trigered By,
Event,Event,
Event Ref No,Event Ref No,
Old Data,Old Data,
New Data,New Data,
User,User,
Stock has been successfully updated!,Stock has been successfully updated!,
Something went wrong while trying to update the stock.,Something went wrong while trying to update the stock.,
Ecommerce Channel,Ecommerce Channel,
Offline Channel,Offline Channel,
Integration Webstore,Integration Webstore,
Integration Marketplace,Integration Marketplace,
Add Channel,Add Channel,
Add Offline Channel,Add Offline Channel,
The channel has been removed.,The channel has been removed.,
The channel has been disconnected.,The channel has been disconnected.,
The channel has been reconnected.,The channel has been reconnected.,
Error when reconnecting with markeplaces!,Error when reconnecting with markeplaces!,
"Sorry can't continue integration right now, please register the Client Key","Sorry can't continue integration right now, please register the Client Key",
Connected,Connected,
Disconnected,Disconnected,
Brand Name,Brand Name,
No records found,No records found,
Disconnect,Disconnect,
Reconnect,Reconnect,
Delete Channel,Delete Channel,
Disconnect Channel,Disconnect Channel,
Are you sure want to delete this channel?,Are you sure want to delete this channel?,
Are you sure want to disconnect this channel?,Are you sure want to disconnect this channel?,
Search,Search,
The channel has been successfully integrated.,The channel has been successfully integrated.,
Error! Something is wrong when create webstore channel!,Error! Something is wrong when create webstore channel!,
This field is Required!,This field is Required!,
Minimum 1 location must be selected!,Minimum 1 location must be selected!,
Error when connecting to markeplaces!,Error when connecting to markeplaces!,
Type must be Integer!,Type must be Integer!,
Error when integrating with markeplaces!,Error when integrating with markeplaces!,
Selected,Selected,
Make sure you have registered the following url callbacks:,Make sure you have registered the following url callbacks:,
on your JD.id console. You can read more details,on your JD.id console. You can read more details,
Here,Here,
SELECT STORE,SELECT STORE,
Create New Store,Create New Store,
SELECT LOCATION,SELECT LOCATION,
Create New Location,Create New Location,
Start Integration,Start Integration,
New Store has been successfully created.,New Store has been successfully created.,
Brand ID,Brand ID,
Cancel,Cancel,
Integration,Integration,
New Location has been successfully created.,New Location has been successfully created.,
Address,Address,
Country,Country,
City,City,
Province,Province,
Zip Code,Zip Code,
Telephone,Telephone,
Longitude,Longitude,
Latitude,Latitude,
Marketplace Store,Marketplace Store,
Webstore,Webstore,
Select Country,Select Country,
No data found,No data found,
Channel Name,Channel Name,
Register Marketplace API Client Key,Register Marketplace API Client Key,
Client Name,Client Name,
Api key has been successfully registered,Api key has been successfully registered,
Something went wrong while trying register marketplace api key!,Something went wrong while trying register marketplace api key!,
record,record,
Confirmation,Confirmation,
Are you sure want to delete selected items?,Are you sure want to delete selected items?,
Are you sure want to delete all items?,Are you sure want to delete all items?,
Success,Success,
Auto Confirm,Auto Confirm,
Actions,Actions,
columns,columns,
filters,filters,
out of,out of,
visible,visible,
Toggle show fields is empty.,Toggle show fields is empty.,
Reset,Reset,
Apply,Apply,
records found,records found,
selected,selected,
No records to display,No records to display,
No file chosen,No file chosen,
Address Detail,Address Detail,
Please input your address detail,Please input your address detail,
"Cannot load map, please check your internet connection","Cannot load map, please check your internet connection",
Yes,Yes,
No,No,
Close,Close,
Please Select,Please Select,
This is a Required field!,This is a Required field!,
You haven't selected any items!,You haven't selected any items!,
Are you sure want to sync to marketplace selected items?,Are you sure want to sync to marketplace selected items?,
Are you sure want to sync to marketplace all items?,Are you sure want to sync to marketplace all items?,
Canceled,Canceled,
failed delete action,failed delete action,
Attention,Attention,
failed sync action,failed sync action,
export,export,
Exports,Exports,
All,All,
Filter fields is empty.,Filter fields is empty.,
Clear,Clear,
The {{recordName}} was deleted.,The {{recordName}} was deleted.,
Apply Filters,Apply Filters,
Clear Filters,Clear Filters,
first page,first page,
previous page,previous page,
next page,next page,
last page,last page,
Value must be a number!,Value must be a number!,
Progress,Progress,
Status :,Status :,
Started At :,Started At :,
Run By :,Run By :,
Error Message :,Error Message :,
Attachment :,Attachment :,
Download Sample File,Download Sample File,
Invalid email format!,Invalid email format!,
Invalid phone number format!,Invalid phone number format!,
Sign Out,Sign Out,
unread notifications,unread notifications,
Something went wrong while trying to get your location error Please check your API key.,Something went wrong while trying to get your location : {{error}} Please check your API key.,
Minimum 1 option must be selected!,Minimum 1 option must be selected!,
Please select the file,Please select the file,
Error,Error,
Preview,Preview,
Monday,Monday,
Tuesday,Tuesday,
Wednesday,Wednesday,
Thursday,Thursday,
Friday,Friday,
Saturday,Saturday,
Sunday,Sunday,
Manage Notification,Manage Notification,
All Notification was read,All Notification was read,
Messages,Messages,
Created at From,Created at From,
Created at To,Created at To,
Mark as Read,Mark as Read,
Are you sure you want to continue?,Are you sure you want to continue?,
Read,Read,
Unread,Unread,
Mark All As Read,Mark All As Read,
Integrations Configuration,Integrations Configuration,
Token,Token,
Re Generate,Re Generate,
General Configuration,General Configuration,
Product Configuration,Product Configuration,
Inventory Configuration,Inventory Configuration,
Price by Location Configuration,Price by Location Configuration,
Order Configuration,Order Configuration,
Invoice Configuration,Invoice Configuration,
Shipment Configuration,Shipment Configuration,
Return Configuration,Return Configuration,
Logistix Configuration,Logistix Configuration,
Logistix Provider Configuration,Logistix Provider Configuration,
Add Logistix Provider,Add Logistix Provider,
Add New Logistix Provider,Add New Logistix Provider,
Logistix Provider has been saved.,Logistix Provider has been saved.,
Pick Pack Configuration,Pick Pack Configuration,
Configuration saved successfully.,Configuration saved successfully.,
Number of Slots per Picker,Number of Slots per Picker,
Number of Slots per Slots,Number of Slots per Slots,
Allow Confirm Pick Without Scan Barcode,Allow Confirm Pick Without Scan Barcode,
Use Camera To Scan Barcode,Use Camera To Scan Barcode,
Wave Number Reset Method,Wave Number Reset Method,
Wave Number Prefix,Wave Number Prefix,
Pick by Batch,Pick by Batch,
Number of Items per Slots,Number of Items per Slots,
Sorting Method,Sorting Method,
Batch Number Reset Method,Batch Number Reset Method,
Batch Number Prefix,Batch Number Prefix,
Pick List Number Reset Method,Pick List Number Reset Method,
Pick List Number Prefix,Pick List Number Prefix,
Marketplace Adapter Configuration,Marketplace Adapter Configuration,
Marketplace Feature Configuration,Marketplace Feature Configuration,
The marketplace feature has been saved.,The marketplace feature has been saved.,
Marketplace Feature,Marketplace Feature,
Marketplace Feature Code,Marketplace Feature Code,
Add Features,Add Features,
Region Mapping Configuration,Region Mapping Configuration,
New Mapping has been saved.,New Mapping has been saved.,
Edit Region Mapping,Edit Region Mapping,
Add New Region Mapping,Add New Region Mapping,
Created To,Created To,
Created From,Created From,
Region Raw,Region Raw,
Region Code,Region Code,
Vendor Configuration,Vendor Configuration,
TADA Configuration,TADA Configuration,
User Configuration,User Configuration,
Notification Configuration,Notification Configuration,
Open API Configuration,Open API Configuration,
Tax Rules Configuration,Tax Rules Configuration,
Tax Rules,Tax Rules,
Customer Tax Class,Customer Tax Class,
Product Tax Class,Product Tax Class,
Tax Rate,Tax Rate,
Subtotal Only,Subtotal Only,
Sort Order,Sort Order,
Add New Tax Rule,Add New Tax Rule,
New Tax Rule,New Tax Rule,
Edit Tax Rule,Edit Tax Rule,
Save Rule,Save Rule,
General Information,General Information,
Additional Settings,Additional Settings,
Calculate Off Subtotal Only,Calculate Off Subtotal Only,
Add New Tax Class,Add New Tax Class,
Add New Tax Rate,Add New Tax Rate,
Do you really want to delete this tax rate?,Do you really want to delete this tax rate?,
Do you really want to delete this tax class?,Do you really want to delete this tax class?,
Tax Identifier,Tax Identifier,
Zip/Post is Range,Zip/Post is Range,
Range From,Range From,
Range To,Range To,
Zip/Post Code,Zip/Post Code,
State,State,
Rate Percent,Rate Percent,
Acceptance Deadline,Acceptance Deadline,
Add Acceptance Deadline,Add Acceptance Deadline,
Import Acceptance Deadline,Import Acceptance Deadline,
Acceptance Deadline (in hour),Acceptance Deadline (in hour),
Edit Acceptance Deadline,Edit Acceptance Deadline,
Shipping Method,Shipping Method,
Acceptance Deadline has been saved!,Acceptance Deadline has been saved!,
Acceptance Deadline has been created!,Acceptance Deadline has been created!,
Email Templates,Email Templates,
Template,Template,
Added,Added,
Added From,Added From,
Added To,Added To,
Subject,Subject,
Template Type,Template Type,
Add New Template,Add New Template,
Edit Template,Edit Template,
Load Default Template,Load Default Template,
Load Template,Load Template,
Template Information,Template Information,
Template Name,Template Name,
Template Subject,Template Subject,
Insert Variable,Insert Variable,
Template Content,Template Content,
Template Styles,Template Styles,
Email Template has been successfully saved.,Email Template has been successfully saved.,
Something went wrong while trying to save email template.,Something went wrong while trying to save email template.,
Template Preview,Template Preview,
Something went wrong while trying to show template preview.,Something went wrong while trying to show template preview.,
Use system value,Use system value,
Old file:,Old file:,
New file:,New file:,
Channel Shipping Method,Channel Shipping Method,
Provider,Provider,
Service,Service,
DESC,DESC,
Single Item,Single Item,
Multiple Item,Multiple Item,
Default,Default,
Every Day,Every Day,
Every Batch,Every Batch,
Enable,Enable,
Manage Company,Manage Company,
Edit Company,Edit Company,
Manage Sales Channel,Manage Sales Channel,
Manage Virtual Stock,Manage Virtual Stock,
Edit Virtual Stock,Edit Virtual Stock,
Create Virtual Stock,Create Virtual Stock,
Edit Sales Channel,Edit Sales Channel,
Manage Location,Manage Location,
Edit Location,Edit Location,
Manage Location Pickup,Manage Location Pickup,
Edit Location Pickup,Edit Location Pickup,
Manage Virtual Location,Manage Virtual Location,
Edit Virtual Location Mapping,Edit Virtual Location Mapping,
Priority Location by Zone,Priority Location by Zone,
Priority Location by City,Priority Location by City,
Company Code,Company Code,
Company Name,Company Name,
Create Company,Create Company,
The company has been saved.,The company has been saved.,
Netsuite ID,Netsuite ID,
Logistix Credentials Flag,Logistix Credentials Flag,
New company has been saved.,New company has been saved.,
URL,URL,
Framework,Framework,
Rule Type,Rule Type,
No From,No From,
No To,No To,
Channel Url,Channel Url,
Create Sales Channel,Create Sales Channel,
The Channel has been saved.,The Channel has been saved.,
New channel has been saved.,New channel has been saved.,
Order Shipped,Order Shipped,
Add Virtual Stock,Add Virtual Stock,
The virtual stock has been saved.,The virtual stock has been saved.,
Notes,Notes,
Enable Priority,Enable Priority,
Priority Type,Priority Type,
Minimal Stock,Minimal Stock,
Locations,Locations,
Assigned Locations,Assigned Locations,
New VirtualStock has been saved.,New VirtualStock has been saved.,
Access Token,Access Token,
End Point,End Point,
Delta Stock Url,Delta Stock Url,
Auto Confirm Shipment,Auto Confirm Shipment,
Prio One Store,Prio One Store,
Split Prio One Store,Split Prio One Store,
Split Shipment Capability,Split Shipment Capability,
One Store Priority Only,One Store Priority Only,
Split Shipment With One Store Priority First,Split Shipment With One Store Priority First,
Split Shipment,Split Shipment,
Release Stock,Release Stock,
Send Shipment,Send Shipment,
Auto Order Reallocation,Auto Order Reallocation,
Shipment Webhook,Shipment Webhook,
Callback URL on Shipment Complete,Callback URL on Shipment Complete,
Triggered when all shipments of an order are picked up or shipped or delivered. Please fill without base url (ex: oms/webhook/order),Triggered when all shipments of an order are picked up or shipped or delivered. Please fill without base url (ex: oms/webhook/order),
Callback URL on Invoice,Callback URL on Invoice,
Please fill without base url (ex: oms/webhook/order),Please fill without base url (ex: oms/webhook/order),
Vendor Portal Webhook,Vendor Portal Webhook,
Callback URL for Promotion Rules,Callback URL for Promotion Rules,
Triggered when Promotion Rules Created / Updated. Please fill without base url (ex: oms/webhook/order),Triggered when Promotion Rules Created / Updated. Please fill without base url (ex: oms/webhook/order),
Rma Webhook,Rma Webhook,
Callback URL on Refund,Callback URL on Refund,
Creditmemo Webhook,Creditmemo Webhook,
Callback URL on Creditmemo,Callback URL on Creditmemo,
Marketplace Credentials,Marketplace Credentials,
Create Location,Create Location,
Location saved successfully.,Location saved successfully.,
Location Information,Location Information,
Active,Active,
Location Name,Location Name,
Zone,Zone,
Is Warehouse,Is Warehouse,
Use in Frontend,Use in Frontend,
Is Virtual Location,Is Virtual Location,
Is Manage Stock,Is Manage Stock,
Is Shipment Auto Complete,Is Shipment Auto Complete,
Shipper ID,Shipper ID,
Lion Parcel Client Code,Lion Parcel Client Code,
Location created successfully.,Location created successfully.,
Do you want to create source of all products in this location?,Do you want to create source of all products in this location?,
Create Location and Source,Create Location and Source,
Create Location Only,Create Location Only,
Parent Location,Parent Location,
Pickup Name,Pickup Name,
Pickup Type,Pickup Type,
Pickup Description,Pickup Description,
Pickup Phone,Pickup Phone,
Pickup Charge,Pickup Charge,
Pickup Fulfillment Time,Pickup Fulfillment Time,
Create Location Pickup,Create Location Pickup,
The Location Pickup has been saved.,The Location Pickup has been saved.,
Percentage,Percentage,
Virtual Location,Virtual Location,
Map Virtual Location,Map Virtual Location,
The virtual location has been saved.,The virtual location has been saved.,
The virtual location mapping has been saved.,The virtual location mapping has been saved.,
Location Zone,Location Zone,
Add New Zone,Add New Zone,
Upload New Zone,Upload New Zone,
The Zone has been saved.,The Zone has been saved.,
Edit Zone,Edit Zone,
New Zone has been saved.,New Zone has been saved.,
New Zone,New Zone,
Region Name,Region Name,
Region,Region,
Add Priority Location,Add Priority Location,
Upload Priority Location,Upload Priority Location,
Upload New Priority Location,Upload New Priority Location,
The Priority Location by Zone has been saved.,The Priority Location by Zone has been saved.,
Edit Priority Location by Zone,Edit Priority Location by Zone,
New Priority Zone has been saved.,New Priority Zone has been saved.,
New Priority Location by Zone,New Priority Location by Zone,
Create Priority Location,Create Priority Location,
The Priority Location by City has been saved.,The Priority Location by City has been saved.,
Edit Priority Location by City,Edit Priority Location by City,
Priority Location has been uploaded,Priority Location has been uploaded,
Priority Location Upload,Priority Location Upload,
New priority location has been saved.,New priority location has been saved.,
Operational Time for Channel Frontend,Operational Time for Channel Frontend,
Pilih Hari,Pilih Hari,
Code for sales channel. You can use an initial name as code or anything else.,Code for sales channel. You can use an initial name as code or anything else.,
"Sales channel full name, can include marketplace or website name.","Sales channel full name, can include marketplace or website name.",
URL for website or marketplace store.,URL for website or marketplace store.,
Token to access channels API.,Token to access channels API.,
Software platform used by sales channels.,Software platform used by sales channels.,
Allocation rules algorithm for routing order or fulfillment order into a specific location.,Allocation rules algorithm for routing order or fulfillment order into a specific location.,
Virtual stock to use for the channel. Only one virtual stock is allowed to be assigned.,Virtual stock to use for the channel. Only one virtual stock is allowed to be assigned.,
Callback URL when all shipments of an order are picked up or shipped or delivered,Callback URL when all shipments of an order are picked up or shipped or delivered,
Callback URL if the invoice has been created.,Callback URL if the invoice has been created.,
Callback URL when creating cart price rule.,Callback URL when creating cart price rule.,
Callback URL for refund request.,Callback URL for refund request.,
Callback URL if the credit memo is issued.,Callback URL if the credit memo is issued.,
Choose Yes to activate auto-confirm for order shipment or choose No to not activate.,Choose Yes to activate auto-confirm for order shipment or choose No to not activate.,
"This option is used to prioritize order allocation or order fulfillment into one location. If you select Yes and there is not enough stock in one location, there will be an allocation not found error status.","This option is used to prioritize order allocation or order fulfillment into one location. If you select Yes and there is not enough stock in one location, there will be an allocation not found error status.",
"If on Prio One Store selected Yes, choose No in this field to keep prioritizing order allocation in one location. Or choose Yes if you want to split order allocation into different locations to meet the required stock.","If on Prio One Store selected Yes, choose No in this field to keep prioritizing order allocation in one location. Or choose Yes if you want to split order allocation into different locations to meet the required stock.",
Choose when the reserved qty is returned to the total qty because the order is completed/canceled.,Choose when the reserved qty is returned to the total qty because the order is completed/canceled.,
